year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country_encoded
2017,6.966,0.67,52.9,0.704,0.068,0.809,33
2014,9.167,0.88,59.9,0.834,0.268,0.65,15
2013,6.907,0.563,53.46,0.752,0.078,0.857,87
2013,9.904,0.917,68.42,0.888,-0.043,0.586,153
2017,8.072,0.744,59.2,0.687,-0.044,0.825,124
2011,9.193,0.842,66.2,0.823,0.145,0.76,133
2009,10.673,0.921,64.22,0.639,-0.11,0.445,123
2011,9.263,0.503,64.86,0.632,-0.255,0.353,50
2015,9.334,0.723,66.0,0.551,-0.203,0.901,5
2018,9.677,0.849,65.389,0.745,-0.041,0.91,109
2019,9.201,0.793,67.0,0.726,-0.165,0.6945,72
2021,9.403,0.86,56.904,0.749,-0.12427272727272727,0.86,130
2021,9.454,0.857,65.699,0.822,-0.09508333333333334,0.918,95
2006,8.007,0.69,45.98,0.653,-0.009,0.907,24
2020,9.061,0.781,62.1,0.932,-0.116,0.744,116
2014,9.017,0.755,54.6,0.375,-0.168,0.834,3
2017,9.44,0.823,67.0,0.827,0.094,0.844,133
2019,9.064,0.774,65.1,0.901,-0.062,0.773,54
2009,7.563,0.806,45.42,0.411,-0.078,0.931,159
2014,10.244,0.924,67.76,0.635,-0.126,0.914,128
2016,9.687,0.828,66.1,0.657,0.031,0.853,80
2006,7.554,0.724,60.64,0.702,-0.088,0.768,140
2013,8.478,0.553,58.3,0.74,0.084,0.832,62
2019,9.074,0.784,63.9,0.881,-0.086,0.857,16
2009,11.065,0.926,64.44,0.819,0.007,0.675,76
2014,10.862,0.956,71.28,0.942,0.118,0.237,38
2018,10.434,0.887,72.4,0.877,-0.261,0.88,118
2010,7.384,0.554,32.3,0.373,0.216,0.848,57
2005,9.393,0.766,62.0,0.651,0.167,0.636,64
2010,7.729,0.857,46.7,0.665,-0.093,0.828,159
2013,9.739,0.896,65.82,0.642,-0.22,0.837,155
2017,10.925,0.967,73.0,0.939,0.246,0.727,61
2014,10.124,0.863,65.36,0.649,-0.024,0.764,146
2013,10.164,0.912,67.78,0.776,-0.137,0.916,117
2010,10.091,0.796,67.9,0.564,-0.237,0.973,35
2018,8.526,0.802,57.0,0.467,-0.112,0.711,92
2017,10.64,0.92,73.4,0.633,-0.035,0.867,68
2011,10.518,0.944,73.02,0.819,-0.122,0.846,132
2017,10.878,0.892,71.9,0.841,0.145,0.414,51
2016,10.781,0.863,68.1,0.889,0.088,0.59525,9
2015,10.104,0.768,68.4,0.694,-0.096,0.849,35
2021,8.087,0.489,54.713,0.757,-0.06444444444444446,0.661,14
2008,9.743,0.717,64.96,0.524,0.035,0.927,80
2020,9.569,0.718,64.1,0.764,-0.221,0.583,50
2021,9.342,0.802,66.005,0.48,-0.1663333333333333,0.752,2
2017,10.908,0.906,72.7,0.89,0.133,0.518,7
2010,10.532,0.902,73.8,0.772,-0.14,0.77,71
2010,8.076,0.855,54.0,0.648,-0.04,0.737,134
2021,8.533,0.74,50.102,0.737,0.05981818181818182,0.878,107
2013,9.155,0.794,61.06,0.781,0.376,0.973,63
2007,9.135,0.686,59.82,0.609,-0.121,0.8282499999999999,42
2018,8.548,0.741,49.7,0.79,-0.01,0.866,107
2008,8.276,0.666,62.015,0.358,-0.07,0.753,112
2019,7.697,0.42,52.4,0.394,-0.108,0.924,0
2006,9.565,0.937,69.94,0.882,0.06,0.798,34
2012,8.065,0.743,49.1,0.766,-0.032,0.898,24
2011,7.643,0.796,48.76,0.823,-0.101,0.726,90
2014,9.232,0.763,55.16,0.849,-0.183,0.79,101
2008,10.125,0.882,59.84,0.643,-0.305,0.924,121
2009,8.4,0.905,62.76,0.951,0.013,0.61,154
2018,10.191,0.909,64.3,0.729,-0.147,0.865,121
2012,8.53,0.779,65.94,0.7,-0.003,0.871,58
2013,9.24,0.648,65.64,0.536,-0.207,0.886,145
2021,10.651,0.799,73.9,0.672,-0.06144444444444445,0.727,131
2011,8.508,0.766,65.72,0.783,0.095,0.884,58
2013,10.57,0.924,74.34,0.821,-0.147,0.65,71
2012,9.605,0.819,66.52,0.461,-0.13,0.952,125
2019,10.853,0.884,72.2,0.776,-0.172,0.672,12
2012,8.161,0.831,56.62,0.628,0.066,0.911,74
2010,7.723,0.759,62.4,0.784,0.062,0.679,140
2019,7.691,0.683,54.4,0.678,-0.004,0.729,21
2014,10.059,0.862,69.46,0.733,0.217,0.758,28
2021,8.538,0.893,64.401,0.935,-0.06942857142857142,0.908,77
2009,6.838,0.718,49.02,0.879,0.176,0.689,87
2009,8.883,0.734,63.88,0.671,-0.103,0.648,43
2017,10.324,0.912,69.5,0.9,-0.17,0.841,113
2009,11.562,0.939,71.44,0.939,0.127,0.432,85
2016,9.561,0.566,65.4,0.773,0.186,0.713,64
2011,8.493,0.924,63.4,0.934,0.042,0.522,154
2007,9.497,0.718,62.76,0.533,0.056,0.872,64
2014,8.602,0.839,66.38,0.817,0.104,0.699,105
2013,7.889,0.74,59.8,0.722,0.151,0.877,102
2011,9.447,0.858,51.46,0.835,-0.154,0.819,130
2007,8.968,0.804,60.76,0.696,-0.186,0.93,95
2015,9.005,0.791,65.2,0.733,-0.156,0.805,43
2018,9.518,0.684,68.7,0.824,0.009,0.899,1
2020,9.702,0.808,69.9,0.891,-0.103,0.755,29
2019,8.544,0.734,50.1,0.729,0.032,0.873,107
2009,8.277,0.522,55.8,0.388,0.077,0.874,111
2014,9.426,0.877,63.4,0.533,0.084,0.927,149
2019,10.095,0.869,70.0,0.659,-0.103,0.86,28
2016,10.506,0.786,73.3,0.756,-0.03,0.898,36
2012,9.489,0.879,64.24,0.84,-0.062,0.727,40
2019,9.785,0.774,59.6,0.833,-0.239,0.792,18
2014,9.129,0.706,63.813,0.441,0.012,0.775,75
2010,10.52,0.976,72.0,0.918,0.254,0.321,104
2017,9.765,0.877,67.0,0.923,0.212,0.884,142
2017,10.429,0.926,66.7,0.749,-0.174,0.79,84
2011,10.029,0.836,64.86,0.564,-0.002,0.934,79
2006,9.17,0.854,61.88,0.772,-0.235,0.774,8
2014,10.306,0.908,65.3,0.508,-0.263,0.956,84
2015,7.669,0.83,50.2,0.634,-0.068,0.8,90
2012,8.495,0.763,55.14,0.487,-0.021,0.707,92
2006,9.543,0.912,67.44,0.807,-0.113,0.477,153
2020,11.042,0.956,73.4,0.965,0.075,0.271,110
2018,8.643,0.827,67.2,0.872,0.099,0.804,58
2008,7.918,0.624,47.18,0.717,0.056,0.89,158
2016,9.268,0.876,62.3,0.822,-0.089,0.6926,83
2013,7.449,0.75,58.06,0.904,-0.028,0.117,122
2013,10.784,0.909,71.16,0.891,0.017,0.574,12
2019,8.556,0.798,57.3,0.628,-0.102,0.743,92
2009,10.888,0.912,68.54,0.831,0.201,0.665,152
2021,7.695,0.463,52.493,0.382,0.07008333333333333,0.924,0
2011,10.878,0.977,71.6,0.952,0.383,0.59,66
2013,9.638,0.733,56.84,0.682,-0.146,0.78,48
2011,10.758,0.83,64.6,0.603,-0.142,0.5446666666666666,123
2012,10.893,0.826,76.82,0.88,0.222,0.38,59
2008,10.899,0.944,71.0,0.883,0.365,0.419,103
2017,9.65,0.8,65.303,0.752,-0.059,0.856,109
2012,7.592,0.885,52.04,0.649,0.081,0.838,148
2014,7.027,0.753,51.48,0.688,-0.046,0.605,106
2011,9.304,0.818,66.96,0.788,-0.155,0.702,41
2017,10.768,0.964,71.8,0.962,-0.002,0.192,46
2012,9.158,0.919,60.8,0.688,0.107,0.932,96
2018,9.903,0.858,68.3,0.816,-0.179,0.809,94
2008,10.44,0.859,71.76,0.663,0.139,0.898,67
2006,8.873,0.878,62.92,0.683,-0.056,0.807,43
2019,8.596,0.746,57.6,0.787,0.116,0.857,52
2008,10.383,0.754,70.8,0.524,-0.102,0.771,131
2016,7.715,0.775,55.1,0.533,-0.151,0.8228333333333334,157
2015,11.1,0.938,73.2,0.928,0.109,0.21,137
2007,9.693,0.832,66.2,0.512,-0.134,0.815,97
2012,10.876,0.962,71.7,0.902,0.302,0.573,66
2019,10.715,0.878,69.3,0.907,0.048,0.59525,9
2011,9.607,0.773,66.36,0.44,-0.185,0.977,125
2015,8.604,0.61,58.9,0.777,-0.005,0.776,62
2021,10.576,0.802,73.898,0.763,0.046142857142857145,0.844,36
2015,10.566,0.919,72.2,0.912,0.347,0.664,91
2013,8.274,0.709,47.1,0.739,-0.031,0.691,69
2007,7.839,0.514,59.44,0.605,0.04,0.806,10
2013,8.953,0.83,63.18,0.884,0.045,0.817,54
2021,7.098,0.641,53.78,0.806,-0.022153846153846152,0.693,106
2005,10.462,0.837,70.5,0.734,-0.2800833333333333,0.861,53
2018,9.579,0.871,67.7,0.851,-0.148,0.855,30
2011,7.96,0.716,58.88,0.927,0.418,0.775,23
2012,8.935,0.802,62.82,0.865,0.02,0.821,54
2012,8.357,0.856,61.94,0.703,-0.079,0.892,77
2014,10.599,0.898,72.96,0.624,-0.065,0.92,68
2013,9.237,0.84,65.6,0.692,-0.117,0.6945,72
2015,10.083,0.926,68.2,0.881,-0.174,0.851,4
2015,9.402,0.798,67.2,0.802,-0.09,0.884,115
2014,10.697,0.91,71.62,0.857,0.355,0.484,151
2017,7.324,0.685,55.3,0.733,-0.012,0.867,82
2008,9.898,0.839,59.2,0.727,-0.221,0.899,73
2008,9.063,0.744,58.32,0.386,-0.061,0.91,65
2016,10.899,0.926,72.1,0.907,0.239,0.433,103
2010,9.054,0.847,61.3,0.598,-0.088,0.929,95
2012,7.705,0.521,52.24,0.531,0.236,0.776,0
2009,10.05,0.933,64.16,0.496,-0.303,0.979,84
2015,7.627,0.747,54.5,0.758,0.135,0.873,148
2015,10.977,0.904,68.6,0.849,0.219,0.698,152
2006,7.746,0.793,55.3,0.9375833333333331,0.255,0.829,23
2019,10.759333333333334,0.893,69.44666666666667,0.814,0.013625,0.718,139
2021,10.776,0.926,73.8,0.915,0.24271428571428572,0.415,25
2015,10.496,0.911,68.8,0.808,-0.146,0.886,37
2008,10.199,0.914,63.82,0.621,-0.259,0.961,84
2011,10.37,0.923,71.72,0.882,0.296,0.67625,91
2020,8.565,0.613,50.7,0.77,0.016,0.777,69
2019,7.926428571428572,0.87,57.5,0.651,-0.13983333333333334,0.798,157
2017,10.792,0.934,73.4,0.945,0.163,0.362,25
2007,9.063,0.756,65.58,0.638,-0.078,0.931,115
2015,8.442,0.464,55.2,0.448,0.045,0.685,138
2006,7.36,0.724,43.18,0.306,0.028,0.961,27
2008,10.789,0.923,70.44,0.887,0.007,0.652,12
2019,9.418,0.946,62.5,0.711,0.149,0.873,96
2010,10.864,0.957,71.4,0.921,0.349,0.399,103
2017,10.711,0.931,73.6,0.834,-0.123,0.601,47
2019,10.0,0.896,69.0,0.817,-0.211,0.83,4
2009,8.654,0.842,64.0,0.748,0.082,0.688,138
2015,10.854,0.98,73.0,0.94,0.301,0.639,61
2016,8.437,0.617,48.3,0.769,-0.043,0.757,69
2019,9.461,0.809,68.4,0.815,-0.13,0.874,115
2014,9.847,0.782,67.22,0.779,-0.094,0.63,94
2013,8.829,0.597,64.4,0.572,-0.21,0.771,98
2009,9.388,0.878,63.52,0.863,-0.053,0.806,40
2010,9.878,0.721,65.2,0.678,0.073,0.949,80
2010,8.901,0.859,62.1,0.696,0.166,0.795,54
2009,9.639,0.9,69.76,0.886,0.065,0.787,34
2020,9.383,0.673,62.3,0.77,-0.112,0.8282499999999999,42
2013,7.498,0.714,46.06,0.488,-0.045,0.882,27
2015,9.403,0.639,67.8,0.704,-0.081,0.885,1
2006,8.462,0.933,64.54,0.65,0.089,0.844,58
2013,9.005,0.722,53.9,0.41,-0.104,0.816,3
2019,8.373,0.676,60.7,0.818,0.31,0.794,74
2018,8.934,0.832,67.9,0.909,-0.041,0.808,156
2019,10.655,0.838,73.8,0.709,-0.082,0.866,68
2014,8.146,0.706,53.06,0.812,-0.011,0.809,158
2017,9.858,0.922,71.1,0.936,-0.076,0.742,34
2010,10.982,0.893,64.6,0.703,-0.031,0.486,76
2017,10.429,0.936,68.4,0.862,-0.101,0.668,44
2018,9.339,0.809,62.1,0.879,0.512,0.868,63
2021,9.52,0.697,68.999,0.785,-0.0801,0.901,1
2006,7.593,0.761,45.92,0.555,-0.072,0.761,90
2009,7.723,0.813,58.7,0.616,0.044,0.95,102
2006,7.367,0.796,46.66,0.588,0.028,0.798,21
2017,10.407,0.9,72.2,0.905,-0.176,0.881,118
2011,9.111,0.869,61.62,0.628,-0.082,0.957,95
2020,9.167,0.708,61.4,0.7,-0.021,0.849,65
2020,9.937,0.921,69.2,0.908,-0.084,0.491,153
2013,9.377,0.801,67.28,0.787,-0.191,0.646,41
2014,10.795,0.944,71.28,0.861,0.001,0.512,12
2015,10.185,0.879,65.9,0.656,-0.077,0.808,79
2015,10.588,0.923,74.7,0.832,-0.155,0.654,71
2008,8.271,0.373,55.4,0.335,0.1,0.848,111
2011,8.332,0.724,54.48,0.852,0.011,0.79,52
2007,8.5,0.819,64.78,0.676,0.23,0.826,58
2011,10.705,0.863,69.44666666666667,0.761,0.035,0.755,139
2012,10.669,0.937,72.6,0.841,-0.149,0.608,47
2021,9.629,0.983,62.409,0.877,0.07100000000000001,0.888,147
2013,9.359,0.759,67.24,0.632,-0.127,0.863,1
2015,8.216,0.601,62.8,0.815,-0.068,0.721,10
2015,10.255,0.883,69.3,0.847,-0.007,0.81,113
2012,10.576,0.871,73.898,0.693,-0.281,0.855,108
2021,8.542,0.795,57.161,0.561,-0.062499999999999986,0.731,92
2017,10.837,0.853,66.5,0.884,-0.005,0.557,76
2019,9.597,0.866,67.6,0.447,-0.081,0.89,80
2014,7.559,0.742,51.86,0.71,-0.004,0.801,21
2018,9.066,0.827,63.6,0.863,-0.093,0.786,16
2010,8.92,0.904,60.2,0.631,0.099,0.928,96
2018,7.311,0.727,56.1,0.766,0.05,0.868,82
2008,10.816,0.84,76.82,0.922,0.296,0.274,59
2016,9.515,0.929,61.4,0.749,0.005,0.888,147
2007,10.759,0.926,70.48,0.801,0.167,0.792,51
2008,8.756,0.785,60.0,0.726,-0.092,0.801,16
2014,10.775,0.918,72.84,0.939,0.27,0.442,25
2020,9.244,0.804,69.1,0.829,-0.157,0.855,41
2016,11.105,0.849,66.7,0.949,0.131,0.3715,150
2015,10.712,0.936,71.7,0.833,0.3,0.456,151
2007,7.419,0.845,47.46,0.708,-0.001,0.881,148
2005,9.809,0.82,62.6,0.623,-0.16754545454545455,0.877,146
2011,8.933,0.731,64.4,0.747,-0.126,0.707,43
2010,10.085,0.955,67.3,0.795,0.002,0.905,117
2014,7.638,0.843,49.84,0.652,-0.037,0.658,90
2015,9.637,0.893,64.9,0.856,-0.065,0.755,40
2017,10.834,0.922,71.8,0.857,0.054,0.543,12
2011,8.484,0.8,65.72,0.779,-0.02,0.76,105
2020,9.104,0.741,57.1,0.666,-0.104,0.81,101
2012,9.347,0.785,66.96,0.602,-0.169,0.848,1
2012,10.213,0.926,67.28,0.62,-0.028,0.907,128
2017,7.718,0.741,51.2,0.753,-0.069,0.863,90
2021,7.362,0.569,54.914,0.619,-0.04166666666666668,0.772,143
2017,7.612,0.734,58.0,0.717,0.001,0.757,45
2016,10.31,0.945,68.3,0.7,-0.061,0.917,128
2015,9.003,0.823,63.9,0.869,0.051,0.822,54
2011,10.263,0.863,62.54,0.775,0.078,0.9,144
2013,11.58,0.917,72.24,0.79,-0.054,0.301,85
2008,7.471,0.813,48.44,0.578,-0.055,0.848,148
2018,9.762,0.853,68.2,0.74,-0.1,0.864,125
2013,10.116,0.834,65.38,0.631,-0.073,0.837,79
2021,9.046,0.81,63.901,0.875,-0.05354545454545454,0.839,16
2011,8.048,0.738,48.7,0.817,-0.029,0.87,24
2015,10.853,0.929,72.3,0.935,0.211,0.232,136
2019,11.371,0.944,72.4,0.892,0.074,0.373,66
2021,9.853,0.91,66.253,0.65,-0.165,0.627,11
2013,9.668,0.91,65.28,0.785,-0.095,0.707,19
2011,9.297,0.81,64.66,0.53,-0.181,0.638,2
2010,8.535,0.787,66.5,0.831,-0.006,0.743,156
2007,10.437,0.9,67.44,0.799,-0.063,0.928,37
2021,9.161,0.818,56.799,0.719,-0.15749999999999997,0.847,101
2016,8.95,0.821,61.7,0.908,-0.071,0.792,116
2017,9.583,0.905,66.2,0.765,-0.175,0.794,19
2006,9.942,0.938,66.82,0.733,-0.157,0.852,4
2016,7.8,0.638,56.5,0.775,0.179,0.739,141
2009,8.975,0.779,60.26,0.784,0.191,0.911,63
2016,6.932,0.524,56.2,0.81,0.066,0.824,87
2012,10.149,0.936,67.62,0.811,-0.027,0.888,117
2008,9.391,0.85,63.24,0.848,-0.045,0.728,40
2012,10.958,0.856,66.44,0.92,0.07725000000000001,0.3715,150
2021,7.694,0.764,59.0,0.752,0.038142857142857145,0.761,45
2009,8.474,0.824,65.26,0.661,0.119,0.857,58
2021,10.623,0.88,73.8,0.693,-0.012181818181818183,0.866,68
2011,10.339,0.852,71.56,0.528,-0.316,0.941,53
2007,7.871,0.688,45.72,0.682,-0.067,0.948,158
2015,10.882,0.879,72.0,0.904,0.261,0.412,103
2016,9.839,0.866,68.1,0.569,-0.087,0.849,97
2016,10.37,0.905,72.0,0.838,-0.225,0.922,118
2015,11.4,0.866,75.9,0.887,0.15,0.099,127
2014,9.427,0.909,60.76,0.805,0.032,0.888,147
2008,11.042,0.936,71.56,0.947,0.018,0.503,110
2021,11.053,0.954,73.3,0.96,0.13885714285714285,0.27,110
2007,10.428,0.868,71.44,0.683,0.219,0.868,67
2007,8.97,0.838,65.86,0.736,0.11,0.847,133
2020,10.771,0.904,72.4,0.767,-0.164,0.634,12
2012,9.645,0.906,65.94,0.847,0.38,0.909,142
2009,9.975,0.807,64.24,0.437,-0.18,0.942,79
2017,8.464,0.795,58.7,0.886,0.65,0.619,100
2013,10.608,0.916,72.92,0.499,-0.102,0.943,68
2011,9.192,0.715,65.28,0.603,-0.199,0.913,145
2013,9.438,0.897,63.1,0.569,-0.216,0.937,149
2009,9.884,0.893,59.7,0.856,-0.249,0.845,73
2016,9.228,0.824,63.813,0.827,0.125,0.941,75
2012,10.784,0.927,71.04,0.855,-0.05,0.758,12
2021,10.24,0.822,67.199,0.576,-0.16754545454545455,0.776,146
2016,8.82,0.876,67.5,0.894,-0.09,0.799,156
2018,9.338,0.759,61.7,0.682,-0.215,0.8282499999999999,42
2019,9.475,0.809,65.7,0.784,-0.092,0.884,95
2018,8.647,0.854,67.5,0.797,0.009,0.713,105
2021,8.62,0.864,67.657,0.836,0.044538461538461534,0.664,105
2016,9.564,0.777,64.9,0.713,-0.204,0.607,8
2013,10.182,0.881,62.26,0.661,-0.289,0.934,121
2011,10.129,0.883,61.42,0.626,-0.279,0.935,121
2016,9.946,0.9,68.8,0.886,-0.072,0.676,153
2019,9.607,0.763,60.2,0.736,-0.203,0.846,48
2008,8.44,0.805,66.18,0.889,0.201,0.789,156
2019,7.886,0.687,58.0,0.85,0.1,0.589,141
2014,9.304,0.943,61.4,0.752,0.146,0.909,96
2007,9.181,0.76,64.9,0.605,-0.251,0.817,5
2011,10.783,0.937,70.92,0.88,-0.014,0.711,12
2013,9.751,0.902,70.3,0.898,0.018,0.813,34
2012,9.726,0.704,67.42,0.462,-0.192,0.755,97
2008,9.59,0.832,49.86,0.858,-0.164,0.806,18
2021,9.365,0.811,62.236,0.873,0.3687777777777778,0.867,63
2020,8.08,0.79,64.7,0.758888888888889,-0.04,0.55,140
2006,8.936,0.812,60.58,0.554,-0.164,0.926,95
2016,8.756,0.945,64.5,0.984,0.208,0.5192857142857142,154
2016,7.697,0.559,53.0,0.523,0.042,0.793,0
2020,10.504,0.953,68.5,0.824,-0.122,0.829,84
2013,8.131,0.761,52.32,0.77,-0.104,0.732,158
2019,10.252,0.842,67.2,0.916,0.123,0.782,88
2010,10.839,0.975,70.4,0.944,0.242,0.175,38
2013,7.87,0.701,62.88,0.693,0.063,0.764,140
2015,7.568,0.705,52.4,0.659,0.004,0.693,21
2010,8.383,0.822,62.25,0.504,-0.117,0.752,112
2013,8.192,0.825,57.18,0.708,0.212,0.861,74
2011,9.822,0.931,65.74,0.766,-0.226,0.772,155
2012,10.03,0.892,61.24,0.84,-0.171,0.877,73
2014,10.492,0.948,73.38,0.738,-0.028,0.854,132
2021,10.189,0.903,64.703,0.718,-0.23599999999999996,0.845,121
2009,8.174,0.633,53.66,0.757,0.005,0.89,52
2009,8.996,0.798,67.42,0.771,-0.16,0.755,29
2008,10.689,0.954,70.74,0.759,0.331,0.548,151
2018,6.635,0.485,53.4,0.646,-0.024,0.599,22
2017,10.873,0.914,72.5,0.935,0.17,0.239,136
2018,8.464,0.685,58.5,0.773,0.069,0.799,111
2006,9.991,0.895,58.68,0.643,-0.307,0.935,121
2010,10.779,0.931,70.8,0.807,0.022,0.697,12
2011,9.475,0.872,64.02,0.848,0.014,0.788,40
2012,10.268,0.812,71.62,0.373,-0.305,0.959,53
2018,9.196,0.8,66.8,0.762,-0.186,0.6945,72
2021,9.4,0.935,62.5,0.708,0.11483333333333333,0.856,96
2006,10.745,0.965,69.76,0.969,-0.005,0.132,46
2019,8.992,0.848,68.1,0.952,-0.126,0.788,156
2019,10.817,0.842,66.9,0.867,-0.104,0.557,76
2012,9.344,0.785,67.12,0.825,-0.084,0.73,41
2016,9.262,0.702,66.3,0.614,-0.165,0.811,145
2014,7.991,0.766,52.38,0.642,-0.074,0.82,159
2019,8.925,0.535,66.2,0.757,-0.244,0.757,98
2019,9.86,0.917,66.4,0.657,-0.186,0.546,11
2010,10.649,0.955,71.3,0.841,0.403,0.587,151
2011,9.27,0.756,66.48,0.773,-0.123,0.824,115
2012,9.74,0.902,70.1,0.929,0.046,0.794,34
2007,10.136,0.836,63.52,0.7,-0.167,0.924,79
2021,9.59,0.87,68.098,0.706,0.05388888888888889,0.931,17
2016,9.013,0.811,64.2,0.863,0.011,0.812,54
2006,11.367,0.903,65.92,0.898,-0.033,0.203,150
2014,9.382,0.819,67.02,0.722,-0.136,0.878,115
2008,8.111,0.69,53.26,0.773,0.129,0.576,39
2018,10.343,0.904,69.6,0.861,-0.131,0.837,113
2014,8.953,0.821,62.36,0.881,0.018,0.832,16
2018,9.386,0.942,62.3,0.696,0.054,0.849,96
2006,10.526,0.946,71.2,0.932,0.312,0.224,104
2009,10.714,0.935,70.76,0.844,0.127,0.69,51
2016,9.788,0.927,65.5,0.658,-0.125,0.664,11
2011,9.069,0.825,60.62,0.878,0.438,0.962,63
2011,10.196,0.917,67.04,0.727,0.01,0.907,128
2011,7.777,0.824,45.74,0.618,-0.087,0.768,81
2012,9.342,0.779,66.78,0.42,-0.013,0.953,17
2016,10.861,0.912,72.4,0.918,0.146,0.246,136
2015,10.098,0.931,62.8,0.74,-0.037,0.714,73
2007,8.028,0.717,46.56,0.644,-0.031,0.91,24
2005,10.652,0.962,71.3,0.957,0.256,0.503,25
2021,10.867,0.934,72.7,0.945,0.15036363636363634,0.237,136
2010,9.675,0.915,69.7,0.881,0.047,0.763,34
2010,7.967,0.549,60.7,0.659,-0.016,0.774,10
2017,8.039,0.816,62.4,0.845,0.134,0.77,102
2017,9.532,0.775,67.5,0.564,0.092,0.923,17
2017,7.588,0.517,60.5,0.908,0.051,0.214,122
2018,8.523,0.621,49.5,0.713,-0.05,0.791,69
2007,7.377,0.771,47.42,0.582,-0.06,0.833,21
2007,10.074,0.885,59.26,0.593,-0.284,0.933,121
2015,9.261,0.609,66.0,0.711,-0.226,0.815,145
2019,8.853,0.915,65.4,0.97,0.304,0.511,154
2021,9.569,0.836,65.656,0.814,-0.17225000000000001,0.506,8
2015,9.699,0.866,66.6,0.885,0.316,0.914,142
2021,10.279,0.823,72.6,0.582,-0.2800833333333333,0.823,53
2011,9.755,0.818,67.26,0.546,-0.226,0.762,97
2014,10.798,0.87,69.44666666666667,0.693,0.092,0.866,139
2007,9.892,0.736,64.48,0.686,-0.188,0.949,120
2016,8.19,0.615,56.7,0.786,-0.072,0.79,32
2012,9.826,0.932,65.78,0.804,-0.193,0.743,155
2015,9.472,0.96,61.0,0.701,0.093,0.888,147
2016,10.595,0.9,74.8,0.836,-0.062,0.698,71
2008,10.579,0.948,72.34,0.834,-0.15,0.683,132
2007,9.515,0.886,63.78,0.777,-0.016,0.728,19
2013,10.243,0.687,71.68,0.426,-0.272,0.941,53
2009,7.54,0.552,51.2,0.679,0.19,0.85,0
2014,10.783,0.8745,67.42,0.8694999999999999,0.06933333333333334,0.59525,9
2006,10.746,0.812,76.82,0.91,0.156,0.356,59
2021,8.458,0.651,58.709,0.726,0.1262,0.787,111
2019,8.965,0.729,59.1,0.906,0.061,0.62,78
2008,8.652,0.712,63.9,0.661,0.122,0.68,138
2019,10.882,0.934,72.7,0.942,0.091,0.25,136
2014,8.659,0.952,64.0,0.954,0.061,0.536,154
2011,10.353,0.856,71.0,0.875,-0.173,0.962,118
2010,10.368,0.864,70.8,0.721,-0.106,0.948,118
2014,10.956,0.902,68.62,0.866,0.221,0.702,152
2010,10.169,0.92,66.8,0.636,-0.101,0.907,128
2013,9.541,0.832,64.942,0.641,0.025,0.861,109
2011,7.846,0.865,48.12,0.633,-0.088,0.83,159
2013,10.42,0.888,68.52,0.726,-0.156,0.916,37
2007,11.212,0.921,73.9,0.867,0.293,0.064,127
2008,8.339,0.894,62.32,0.831,-0.023,0.5192857142857142,154
2020,9.462,0.874,66.4,0.859,-0.058,0.941,95
2011,7.146,0.303,51.58,0.584,-0.07,0.832,143
2010,6.941,0.655,49.4,0.817,-0.023,0.529,106
2021,9.054,0.762,66.402,0.888,-0.11969230769230768,0.688,43
2014,10.82,0.933,72.22,0.945,0.202,0.25,136
2018,7.859,0.675,57.5,0.807,0.153,0.612,141
2011,10.133,0.905,67.46,0.868,-0.067,0.908,117
2019,9.979,0.933,69.1,0.903,-0.095,0.599,153
2011,7.567,0.598,50.22,0.797,0.041,0.743,55
2021,10.823,0.906,72.199,0.783,-0.026846153846153846,0.646,12
2011,6.925,0.818,49.92,0.78,-0.055,0.549,106
2011,9.83,0.891,68.14,0.851,-0.08,0.556,153
2013,8.668,0.759,66.98,0.92,-0.027,0.771,156
2008,9.52,0.832,64.82,0.868,0.425,0.933,142
2010,7.457,0.734,45.1,0.505,0.025,0.858,27
2020,10.215,0.779,72.8,0.565,-0.241,0.764,53
2016,10.136,0.809,66.6,0.822,-0.115,0.949,120
2020,10.701,0.89,66.9,0.884,-0.111,0.5446666666666666,123
2005,10.108,0.93,64.6,0.697,-0.157,0.903,60
2010,8.686,0.805,60.6,0.893,0.033,0.812,116
2015,10.576,0.791,73.898,0.785,-0.281,0.659,108
2010,7.528,0.83,50.4,0.801,-0.015,0.855,148
2011,9.838,0.733,65.28,0.657,0.006,0.911,80
2013,8.445,0.676,55.24,0.794,-0.065,0.88,52
2018,8.555,0.761,57.2,0.817,0.062,0.846,52
2018,11.056,0.966,73.2,0.96,0.094,0.268,110
2014,10.197,0.924,67.94,0.875,-0.064,0.898,117
2008,10.384,0.886,70.32,0.646,-0.217,0.933,118
2016,8.668,0.853,66.9,0.717,0.039,0.731,105
2021,8.485,0.826,62.25,0.653,-0.12133333333333332,0.821,112
2008,6.918,0.607,47.88,0.649,-0.055,0.749,106
2010,9.579,0.726,66.2,0.463,-0.17,0.965,125
2013,9.369,0.797,66.84,0.703,-0.066,0.87,115
2017,11.461,0.897,76.5,0.926,0.136,0.162,127
2016,10.855,0.895,69.44666666666667,0.719,-0.049,0.811,139
2009,9.158,0.9,64.28,0.718,0.027,0.857,114
2020,10.626,0.929,72.7,0.885,0.203,0.49,151
2021,7.158,0.744,54.706,0.882,0.037166666666666674,0.684,99
2021,9.826,0.913,70.6,0.854,0.024,0.825,89
