year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country_encoded
2006,9.85,0.836,68.66,0.744,0.168,0.634,28
2007,10.546,0.967,71.4,0.878,0.279,0.295,104
2014,10.446,0.878,68.66,0.8,-0.168,0.897,37
2015,11.486,0.863,68.3,0.898,0.13633333333333333,0.184,119
2012,8.296,0.813,54.56,0.412,-0.056,0.734,134
2015,9.383,0.863,66.6,0.902,0.319,0.859,133
2012,9.249,0.788,67.92,0.808,-0.185,0.755,29
2019,7.264,0.712,56.9,0.706,0.051,0.828,82
2015,9.219,0.848,60.2,0.83,0.277,0.634,15
2015,8.393,0.704,47.7,0.8,-0.053,0.744,69
2010,8.729,0.934,64.1,0.647,0.008,0.743,138
2014,10.882,0.899,71.96,0.885,0.118,0.567,7
2021,7.926,0.787,48.7,0.715,-0.121,0.915,81
2021,10.016,0.931,67.0,0.788,-0.13024999999999998,0.932,20
2015,10.878,0.96,71.5,0.941,0.222,0.191,38
2012,9.246,0.73,59.12,0.315,-0.02,0.789,65
2021,10.575,0.939,73.503,0.8,0.1275,0.753,67
2008,9.256,0.709,65.0,0.462,-0.215,0.876,5
2015,7.992,0.736,53.8,0.667,-0.123,0.81,159
2015,10.259,0.835,71.8,0.532,-0.272,0.824,53
2012,7.437,0.749,41.42,0.482,0.289,0.717,57
2009,9.544,0.913,64.26,0.767,-0.055,0.723,19
2015,10.785,0.853,67.7,0.85,0.112,0.59525,9
2021,10.217,0.924,70.799,0.754,-0.141625,0.939,35
2017,11.05,0.95,73.1,0.953,0.236,0.25,110
2011,6.979,0.818,48.32,0.639,-0.024,0.719,99
2020,8.102,0.507,55.1,0.783,-0.083,0.532,14
2011,9.997,0.905,60.72,0.878,-0.235,0.802,73
2019,7.699,0.694,55.3,0.677,0.41,0.798,49
2012,8.543,0.818,47.12,0.652,0.066,0.9,107
2008,10.606,0.83,69.14,0.642,-0.017,0.785,139
2014,9.378,0.626,67.52,0.735,-0.025,0.883,1
2006,10.566,0.878,71.44,0.836,0.018,0.712,36
2018,11.025,0.904,68.3,0.825,0.116,0.71,152
2013,8.09,0.76,49.5,0.794,-0.03,0.867,24
2018,8.082,0.875,64.1,0.758888888888889,-0.065,0.578,140
2013,10.414,0.744,72.82,0.656,0.102,0.867,36
2010,9.119,0.814,66.1,0.738,0.259,0.769,133
2007,10.558,0.938,73.44,0.796,-0.09,0.809,71
2017,7.792,0.634,53.3,0.738,0.038,0.75,55
2018,9.348,0.799,65.9,0.583,-0.146,0.759,2
2010,10.905,0.926,68.7,0.828,0.244,0.69,152
2020,10.335,0.943,68.4,0.771,-0.12,0.836,60
2018,10.546,0.941,71.1,0.942,-0.119,0.839,129
2016,9.748,0.768,57.5,0.852,-0.253,0.729,18
2021,7.676,0.552,61.4,0.897,0.020714285714285716,0.167,122
2006,8.213,0.818,61.78,0.547,-0.12133333333333332,0.858,112
2018,8.049,0.775,55.6,0.763,-0.068,0.844,159
2019,7.365,0.64,48.7,0.537,0.055,0.832,27
2018,10.783,0.962,71.9,0.938,-0.127,0.199,46
2013,10.75,0.817,69.44666666666667,0.69,0.002,0.841,139
2009,10.788,0.835,76.82,0.918,0.308,0.272,59
2015,7.277,0.479,53.5,0.772,-0.069,0.733,143
2015,7.03,0.713,52.0,0.728,-0.032,0.703,106
2020,10.02,0.888,70.1,0.781,0.033,0.812,28
2015,8.449,0.687,56.0,0.852,-0.038,0.945,52
2005,10.745,0.935,69.9,0.924,-0.026846153846153846,0.598,12
2009,8.453,0.722,45.68,0.537,0.067,0.913,107
2009,9.351,0.886,65.58,0.757,-0.055,0.837,30
2011,10.887,0.944,71.54,0.939,0.132,0.703,7
2017,10.067,0.907,68.6,0.832,-0.186,0.841,4
2007,9.372,0.848,62.96,0.886,-0.008,0.772,40
2015,10.81,0.885,71.4,0.869,0.062,0.469,12
2021,10.932,0.942,72.4,0.913,0.28850000000000003,0.338,103
2011,10.426,0.931,69.4,0.907,-0.025,0.893,129
2015,8.615,0.812,48.5,0.68,-0.035,0.926,107
2018,8.106,0.739,59.6,0.629,-0.074,0.805,124
2016,9.426,0.803,67.5,0.83,-0.134,0.866,115
2018,9.42,0.901,64.6,0.663,-0.074,0.943,149
2009,9.213,0.744,59.94,0.611,-0.1,0.801,42
2018,9.541571428571428,0.887,66.5,0.611,-0.20533333333333337,0.828,155
2007,8.714,0.796,59.5,0.78,0.001,0.817,16
2014,8.317,0.811,55.12,0.39,-0.063,0.794,134
2008,9.701,0.922,65.58,0.678,-0.225,0.776,155
2005,9.724,0.838,64.0,0.8,-0.1511818181818182,0.957,120
2016,10.373,0.938,66.1,0.614,-0.266,0.949,84
2011,10.536,0.954,72.12,0.935,0.284,0.269,104
2016,7.306,0.509,53.9,0.73,-0.007,0.815,143
2007,10.347,0.896,65.32,0.712,-0.246,0.743,44
2010,9.092,0.768,67.6,0.805,-0.133,0.755,29
2018,10.771,0.868,66.3,0.855,-0.192,0.5446666666666666,123
2021,9.065,0.77,50.833,0.647,-0.14533333333333334,0.708,135
2019,9.339,0.843,63.813,0.841,0.247,0.92,75
2017,8.146,0.655,57.3,0.778,-0.131,0.763,32
2016,10.211,0.917,66.2,0.685,-0.156,0.868,79
2021,9.47,0.827,67.299,0.841,0.16150000000000003,0.863,133
2017,9.517,0.59,64.7,0.821,-0.244,0.59,50
2016,9.884,0.893,67.7,0.752,-0.153,0.809,94
2019,10.047,0.948,67.0,0.822,-0.109,0.943,20
2015,9.46,0.898,55.3,0.862,-0.127,0.853,130
2009,10.425,0.937,72.08,0.593,0.172,0.923,67
2018,9.98,0.917,69.0,0.876,-0.097,0.683,153
2021,10.707,0.934,72.5,0.859,0.3175454545454545,0.459,151
2017,6.817,0.32,45.2,0.645,0.073,0.89,26
2020,10.525125,0.806,74.1,0.763,0.046142857142857145,0.816,36
2021,8.12,0.774,64.233,0.782,0.13140000000000002,0.727,102
2009,9.681,0.908,62.0,0.679,-0.203,0.676,11
2007,6.987,0.532,40.9,0.663,0.081,0.782,26
2015,10.445,0.77,73.1,0.628,0.114,0.893,36
2017,9.026,0.826,64.5,0.915,-0.059,0.8,54
2019,9.598,0.873,68.0,0.822,-0.172,0.854,30
2009,10.639,0.918,72.02,0.798,-0.082,0.654,47
2016,10.986,0.897,68.5,0.758,0.144,0.739,152
2018,9.826,0.913,70.6,0.855,0.024,0.825,89
2016,10.622,0.927,73.2,0.624,-0.081,0.903,68
2009,8.773,0.831,60.5,0.779,-0.036,0.763,16
2015,10.842,0.885,69.44666666666667,0.701,0.019,0.857,139
2007,8.09,0.73,52.78,0.891,0.138,0.771,52
2013,10.985,0.862,65.5,0.751,-0.074,0.557,76
2012,7.983,0.896,49.54,0.47,-0.103,0.859,159
2017,9.972,0.91,66.1,0.912,0.087,0.818,93
2020,10.538,0.959,73.7,0.831,-0.049,0.748,67
2015,7.347,0.611,46.0,0.624,0.05,0.825,126
2021,11.085,0.844,67.333,0.932,0.07725000000000001,0.589,150
2013,9.28,0.728,58.88,0.523,-0.05,0.71,65
2013,8.489,0.761,62.054,0.454,-0.15,0.78,112
2009,10.697,0.943,72.02,0.915,0.246,0.413,25
2017,11.634,0.905,72.6,0.903,0.044,0.33,85
2019,10.954,0.958,72.7,0.963,0.02,0.174,38
2013,8.805,0.846,61.2,0.907,0.021,0.756,116
2021,9.962,0.898,69.0,0.828,-0.16390000000000002,0.834,4
2019,8.033,0.632,57.5,0.538,0.077,0.762,31
2020,11.323,0.96,72.5,0.882,0.014,0.356,66
2019,10.457,0.876,72.6,0.882,-0.234,0.915,118
2018,9.562,0.781,65.5,0.772,-0.232,0.561,8
2014,8.164,0.577,62.38,0.736,-0.098,0.789,10
2016,11.64,0.941,72.6,0.882,0.019,0.356,85
2021,10.669,0.862,69.495,0.925,0.06933333333333334,0.722,9
2019,10.179,0.951,65.2,0.852,-0.055,0.708,73
2012,7.846,0.734,59.6,0.638,0.07,0.883,102
2021,7.364,0.619,48.478,0.579,0.013888888888888888,0.807,27
2019,9.688,0.822,69.6,0.927,-0.173,0.755,29
2015,8.714,0.968,64.2,0.98,0.375,0.471,154
2017,7.475,0.647,55.5,0.484,0.381,0.647,57
2021,10.071,0.882,70.0,0.742,0.08730769230769231,0.83,28
2019,7.406,0.701,59.5,0.55,-0.012,0.72,86
2008,7.223,0.619,49.96,0.724,-0.035,0.84,82
2011,9.6,0.86,53.68,0.813,-0.25,0.816,18
2007,10.163,0.941,63.48,0.59,-0.282,0.966,84
2013,9.839,0.923,64.04,0.723,-0.177,0.653,11
2018,11.49,0.903,76.8,0.916,-0.066,0.097,127
2011,11.553,0.857,67.02,0.905,0.012,0.184,119
2012,9.105,0.826,61.94,0.602,-0.05,0.955,95
2009,7.682,0.676,61.96,0.744,0.001,0.792,140
2018,7.644,0.616,61.1,0.924,0.057,0.164,122
2012,10.928,0.903,68.66,0.823,0.215,0.71,152
2019,10.518,0.918,67.9,0.78,-0.251,0.783,84
2009,10.097,0.901,65.4,0.464,-0.125,0.915,60
2013,8.396,0.585,58.76,0.455,0.225,0.663,138
2017,9.681,0.777,66.6,0.605,-0.074,0.911,80
2012,9.436,0.898,62.8,0.564,-0.223,0.896,149
2019,10.336,0.936,67.1,0.698,-0.194,0.789,79
2020,7.829,0.717,56.8,0.643,-0.009,0.789,159
2018,7.692,0.508,52.6,0.374,-0.094,0.928,0
2014,11.041,0.8615454545454546,66.48,0.9158181818181818,0.07725000000000001,0.3715,150
2006,7.485,0.783,48.7,0.787,-0.027,0.649,141
2010,8.035,0.759,48.3,0.792,0.002,0.875,24
2017,10.57,0.916,73.1,0.768,0.145,0.793,67
2021,9.487,0.799,67.055,0.825,-0.2105,0.629,5
2019,8.203,0.711,53.5,0.712,-0.008,0.817,24
2008,8.329,0.792,60.54,0.719,-0.1,0.923,77
2014,9.19,0.905,61.28,0.719,0.408,0.97,63
2012,8.397,0.685,54.86,0.679,0.04,0.898,52
2020,10.371,0.953,70.1,0.767,-0.007,0.787,117
2021,9.182,0.767,67.0,0.755,-0.10763636363636363,0.705,72
2017,8.334,0.713,63.8,0.896,0.012,0.635,10
2015,8.636,0.827,66.6,0.809,0.077,0.728,105
2019,9.186,0.878,67.5,0.891,-0.137,0.885,70
2016,7.431,0.616,47.2,0.525,0.052,0.82,27
2018,9.934,0.856,68.5,0.626,-0.051,0.769,97
2020,8.96,0.66,59.5,0.915,0.141,0.748,78
2021,9.626,0.848,67.355,0.525,-0.0024545454545454575,0.898,80
2021,10.008,0.905,66.701,0.867,0.09525,0.789,93
2018,9.656,0.829,67.1,0.607,-0.066,0.907,80
2010,7.258,0.827,51.6,0.819,-0.038,0.818,82
2017,8.624,0.843,67.0,0.898,0.072,0.783,58
2009,11.456,0.894,66.58,0.865,0.235,0.184,119
2017,9.756,0.768,58.2,0.817,-0.248,0.731,18
2011,9.767,0.8,64.7,0.848,0.191,0.847,93
2009,9.752,0.868,66.44,0.682,-0.076,0.764,94
2010,9.969,0.928,68.3,0.755,-0.009,0.88,113
2018,10.844,0.93,72.0,0.808,-0.125,0.63,12
2014,10.171,0.932,62.68,0.744,-0.265,0.869,121
2012,8.236,0.682,54.3,0.706,-0.171,0.793,157
2011,9.94,0.753,65.42,0.65,-0.14,0.964,120
2019,9.651,0.982,62.6,0.892,0.285,0.888,147
2014,9.152,0.874,66.58,0.809,-0.001,0.861,70
2020,8.59,0.643,58.0,0.824,0.2,0.847,52
2010,8.9,0.757,64.2,0.669,-0.064,0.694,43
2008,11.178,0.845,74.2,0.661,0.046,0.066,127
2011,8.204,0.818,54.28,0.583,-0.024,0.663,134
2013,9.371,0.559,64.98,0.722,-0.254,0.349,50
2010,9.312,0.773,66.7,0.365,-0.128,0.933,17
2011,9.996,0.692,64.64,0.446,-0.242,0.649,146
2019,7.926,0.79,48.7,0.716,-0.131,0.915,81
2018,8.935,0.705,58.7,0.907,0.141,0.634,78
2007,10.162,0.91,67.12,0.662,-0.092,0.934,35
2009,9.534,0.736,63.02,0.498,-0.087,0.754,8
2012,10.426,0.912,68.38,0.74,-0.154,0.957,37
